u,v,key,osmid,name,highway,maxspeed,oneway,reversed,length,lanes,geometry,junction,width,bridge,tunnel,access,ref
361042,1165949167,0,237932369,Avenue des Gobelins,secondary,30,True,False,52.956,2,"LINESTRING (2.351 48.8380281, 2.350825 48.8383613, 2.3508033 48.8384047, 2.350764 48.8384783)",,,,,,
361042,1142990090,0,"[934245761, 25485138, 553237950]",Avenue des Gobelins,secondary,30,False,False,151.38299999999998,4,"LINESTRING (2.351 48.8380281, 2.3510491 48.8379564, 2.3510807 48.8379101, 2.3512207 48.8377047, 2.3512624 48.8376436, 2.3515019 48.8372922, 2.3515191 48.8372669, 2.3517379 48.8369648, 2.3518495 48.836787)",,,,,,
361043,1981095121,0,53799097,Avenue des Gobelins,secondary,30,False,True,44.585,4,"LINESTRING (2.3543465 48.8332121, 2.3546065 48.8328495)",,,,,,
361043,361753,0,48670610,Rue Coypel,residential,30,True,False,87.54199999999999,,"LINESTRING (2.3543465 48.8332121, 2.3545088 48.8332115, 2.3554396 48.8332084, 2.3555425 48.833208)",,,,,,
361043,21648029,0,53799097,Avenue des Gobelins,secondary,30,False,False,23.009,4,"LINESTRING (2.3543465 48.8332121, 2.354297 48.8332815, 2.3542155 48.8334002)",,,,,,
361044,21647889,0,43904125,Boulevard de l'Hôpital,primary,30,False,False,10.109,4,"LINESTRING (2.3567612 48.8331727, 2.356823 48.833254)",,,,,,
361044,361753,0,3630707,Rue Coypel,residential,30,True,False,89.318,,"LINESTRING (2.3567612 48.8331727, 2.3565619 48.8331861, 2.3555425 48.833208)",,,,,,
361044,361747,0,43904125,Boulevard de l'Hôpital,primary,30,False,True,45.244,4,"LINESTRING (2.3567612 48.8331727, 2.3565498 48.8328817, 2.3564892 48.8328074)",,,,,,
361044,361748,0,48670609,Rue Édouard Manet,residential,30,True,False,166.493,,"LINESTRING (2.3567612 48.8331727, 2.3569526 48.8331115, 2.3587229 48.8325382, 2.3588028 48.8325125)",,,,,,
361045,21648537,0,"[25485120, 570738515, 570738517]",Boulevard de l'Hôpital,primary,30,False,False,285.949,"['2', '3']","LINESTRING (2.3592953 48.8365766, 2.3594234 48.8367493, 2.3594286 48.8367564, 2.3594652 48.8368042, 2.3600116 48.8375188, 2.3603922 48.8380321, 2.3607599 48.8385515, 2.3608033 48.8386087, 2.360867 48.8386914, 2.3608958 48.838729, 2.3610159 48.8388852)",,,,,,
361045,21648012,0,43904125,Boulevard de l'Hôpital,primary,30,False,True,90.604,4,"LINESTRING (2.3592953 48.8365766, 2.3591431 48.8363722, 2.3589922 48.8361694, 2.358893 48.8360362, 2.3587506 48.8358449)",,,,,,
361045,21648333,0,"[977551262, 931976695]",Rue Jeanne d'Arc,residential,30,False,False,135.942,2,"LINESTRING (2.3592953 48.8365766, 2.3591531 48.8366858, 2.3589079 48.8368741, 2.358142 48.8374623, 2.3580866 48.8375049)",,,,,,
361045,15859484,0,962516146,Rue Esquirol,residential,30,True,False,90.596,,"LINESTRING (2.3592953 48.8365766, 2.3594259 48.8364444, 2.3594676 48.8364, 2.3597577 48.8359701, 2.3598406 48.8358472)",,,,,,
361047,549792392,0,313695844,Rue Monge,secondary,30,False,False,56.981,2,"LINESTRING (2.3519793 48.84166, 2.3519868 48.8417206, 2.3519928 48.8417627, 2.3520387 48.8420865, 2.3520533 48.8421701)",,,,,,
