osmid,y,x,street_count,highway,ref,geometry
7862174013,51.5512783,0.0048475,1,,,POINT (0.0048475 51.5512783)
7862174016,51.5512698,0.0046432,1,,,POINT (0.0046432 51.5512698)
7863450465,51.4115276,-0.0881278,1,,,POINT (-0.0881278 51.4115276)
7863929717,51.413193,-0.307653,1,,,POINT (-0.307653 51.413193)
7864012202,51.4556773,0.1425486,3,,,POINT (0.1425486 51.4556773)
7864012203,51.4557596,0.1424637,4,,,POINT (0.1424637 51.4557596)
7864510091,51.5124561,-0.2998642,1,,,POINT (-0.2998642 51.5124561)
7865678826,51.5572266,0.0184273,1,,,POINT (0.0184273 51.5572266)
7865678828,51.5561396,0.0190768,1,,,POINT (0.0190768 51.5561396)
7865678830,51.5563654,0.0192677,1,,,POINT (0.0192677 51.5563654)
7865678832,51.5545436,0.0155863,1,,,POINT (0.0155863 51.5545436)
7865836596,51.4804128,0.1650642,3,,,POINT (0.1650642 51.4804128)
7865836597,51.481297,0.1632238,3,,,POINT (0.1632238 51.481297)
7865836598,51.4818099,0.1635284,3,,,POINT (0.1635284 51.4818099)
