Location,OuterIters,Converged,StopReason,TimeTotal_s,TimePermutation_s,TimeFitInit_s,TimeFitLoop_s,TimeFitTotal_s,PermFrac_pct,FitFrac_pct,SwapEvals,SwapAccepts,FinalLoss
164,6,1,no_improving_swap,7.630763,0.3336707,0.5384864,3.3670023,3.9054887,4.37270427609926,51.1808412867756,1260,124,2401.58367154448
165,9,1,no_improving_swap,11.3243132,0.5006588,0.555896,5.0610606,5.6169566,4.42109637165457,49.6008587964522,1890,137,2171.85214832327
166,5,1,no_improving_swap,6.4121215,0.275938,0.5666799,2.7845026,3.3511825,4.30338071416769,52.263240801036,1050,122,2615.09220736793
167,7,1,no_improving_swap,9.4517753,0.4244792,0.5841908,4.1723708,4.7565616,4.49099969611,50.3245310962905,1470,121,2192.63641511984
168,8,1,no_improving_swap,10.0367834,0.4483376,0.600213,4.4698194,5.0700324,4.46694505731787,50.5145144409513,1680,117,2116.61144582848
169,5,1,no_improving_swap,6.3972618,0.2780382,0.5344306,2.8176447,3.3520753,4.34620637223257,52.3985949738683,1050,105,2672.1000396958
170,9,1,no_improving_swap,11.2694843,0.5000454,0.5512057,5.0398733,5.591079,4.43716310958435,49.6125541432273,1890,123,2470.54069862914
171,7,1,no_improving_swap,8.7788266,0.401724,0.5490197,3.8970951,4.4461148,4.57605575669988,50.6458892809205,1470,106,2298.05726407737
172,11,1,no_improving_swap,13.740344,0.6182547,0.5662147,6.2010168,6.7672315,4.49955765299617,49.2508157001018,2310,131,2076.93682770424
173,4,1,no_improving_swap,5.2900193,0.2256943,0.5378065,2.2850692,2.8228757,4.26641732668159,53.362294916391,840,100,2864.71667663926
174,11,1,no_improving_swap,13.7099885,0.6181701,0.5674849,6.3112657,6.8787506,4.5089031256299,50.1732776799922,2310,134,2270.31617422205
175,10,1,no_improving_swap,12.8703453,0.5563321,0.6170212,5.8251832,6.4422044,4.32258876535348,50.0546352862809,2100,117,2149.25764596678
176,13,1,no_improving_swap,15.9882034,0.7347923,0.5331542,7.3232712,7.8564254,4.59584033062777,49.1388882380618,2730,140,2064.14908633222
177,8,1,no_improving_swap,10.0489393,0.4460127,0.5336072,4.5253312,5.0589384,4.43840575293355,50.3430088387538,1680,121,2194.12747294837
178,8,1,no_improving_swap,10.1328546,0.4498974,0.5595106,4.4817953,5.0413059,4.43998673384695,49.7520797347669,1680,119,2763.66257125102
179,9,1,no_improving_swap,11.1082246,0.5146064,0.5482284,5.0343962,5.5826246,4.63266110049665,50.2566773811902,1890,96,2306.46815917659
180,11,1,no_improving_swap,13.9842989,0.6229241,0.6893911,6.2446367,6.9340278,4.45445355862638,49.5843792354867,2310,126,2117.85377516592
181,11,1,no_improving_swap,13.6685483,0.6182355,0.5482637,6.2657595,6.8140232,4.52305165428577,49.8518427154404,2310,114,2184.24387843384
182,15,1,no_improving_swap,18.3746393,0.8454613,0.534015,8.5304009,9.0644159,4.60124025400597,49.3311229244103,3150,118,2176.00319608648
183,12,1,no_improving_swap,14.9443999,0.6663608,0.5734163,6.7484733,7.3218896,4.45893314190555,48.9942028384827,2520,121,2075.90612256531
