osmid,y,x,street_count,ref,highway,geometry,lat_index,lon_index,grid_index
498493255,22.5310811,114.0126238,3,,,POINT (114.0126238 22.5310811),18,29,1829
498493279,22.5283121,114.0161915,3,,,POINT (114.0161915 22.5283121),17,30,1730
498493303,22.5344458,114.0115562,3,,,POINT (114.0115562 22.5344458),19,29,1929
498493318,22.5346984,114.0143366,3,,,POINT (114.0143366 22.5346984),19,30,1930
498493327,22.5375324,114.0137571,3,,,POINT (114.0137571 22.5375324),19,30,1930
498494428,22.5347764,114.0142705,3,,,POINT (114.0142705 22.5347764),19,30,1930
498497379,22.5414253,114.0077977,3,2274,motorway_junction,POINT (114.0077977 22.5414253),20,29,2029
498497387,22.5382437,114.0106931,3,,,POINT (114.0106931 22.5382437),20,29,2029
498497395,22.5363475,114.0117703,3,,motorway_junction,POINT (114.0117703 22.5363475),19,29,1929
498497402,22.5349681,114.0117951,3,,,POINT (114.0117951 22.5349681),19,29,1929
498497407,22.5368664,114.0099263,3,,,POINT (114.0099263 22.5368664),19,29,1929
